# (Changed character index) (time in nanosecond per comparison)
0 29.556429100
1 25.551258300
2 25.138737500
3 25.833783400
4 26.809341700
5 26.298758300
6 26.549350000
7 26.975208400
8 28.122516700
9 27.151100000
10 27.205083300
11 28.198641700
12 28.192970900
13 28.575695800
14 29.319979100
15 30.406829200
16 29.516129200
17 29.976695800
18 31.697729200
19 30.246837500
20 30.279858400
21 36.537108300
22 30.856845800
23 30.725995900
24 31.680041600
25 31.658800000
26 31.509508300
27 32.599595800
28 34.136879100
29 34.714254200
30 33.600291700
31 33.367783300
32 33.103900000
33 34.023416700
34 34.307295800
35 33.922158300
36 35.660558300
37 35.710804100
38 36.259529200
39 37.816575000
40 36.890091700
# result: 0
