# (Changed character index) (time in nanosecond per comparison)
0 19.452935830
1 26.066052080
2 25.458782910
3 25.885376670
4 26.457850000
5 26.326318750
6 26.638970000
7 26.813836250
8 27.178312910
9 27.561179170
10 27.879011670
11 27.956137920
12 28.729341670
13 28.612705000
14 28.614013750
15 29.067232500
16 29.114850410
17 71.028082080
18 29.832207920
19 29.922657920
20 30.843700830
21 36.120515830
22 31.912785840
23 31.212063750
24 31.449490830
25 31.611958330
26 31.936508330
27 32.108183750
28 32.567201670
29 32.876471660
30 33.082587920
31 33.140541250
32 33.613597080
33 33.906614170
34 50.620120840
35 49.779497500
36 34.787076660
37 35.649755000
38 36.353631250
39 36.858287090
40 37.244232080
# result: 0
