# (Changed character index) (time in nanosecond per comparison)
0 38.307883750
1 38.362357920
2 38.054229160
3 37.953372920
4 38.169138330
5 38.598798340
6 38.236235410
7 37.996880830
8 37.861861250
9 37.997827500
10 38.018666670
11 38.186185840
12 38.006998330
13 37.986498750
14 37.857723750
15 38.317534580
16 38.174214590
17 38.136957500
18 38.201913750
19 38.140157500
20 38.458321250
21 38.542110840
22 38.202492910
23 38.414127500
24 38.151122920
25 38.386470840
26 38.263560420
27 38.375265000
28 38.515860840
29 38.458249170
30 38.171800420
31 38.149728340
32 38.358369590
33 38.415764160
34 38.481772500
35 38.375767910
36 38.388707090
37 38.443985000
38 38.557850410
39 38.450607090
40 38.460872090
# result: False
